year,longitude,latitude,fish_type
2015.0,-62.6092500000,49.9554166700,capelin
2015.0,-63.0018333300,49.8224166700,capelin
2015.0,-63.1223333300,49.8139166700,capelin
2015.0,-62.8098333300,49.7235000000,capelin
2015.0,-62.5234166700,49.7516666700,capelin
2015.0,-61.5825833300,50.0419166700,capelin
2015.0,-61.1414166700,49.6898333300,capelin
2015.0,-60.5920833300,49.8605000000,capelin
2015.0,-63.4060000000,48.8049166700,capelin
2016.0,-63.6404166700,48.8631666700,capelin
2016.0,-60.7728333300,49.1360833300,capelin
2016.0,-60.1908333300,49.1274166700,capelin
2016.0,-59.0867500000,50.0885833300,capelin
2016.0,-58.7950000000,50.0821666700,capelin
2016.0,-58.4685000000,50.3330000000,capelin
2016.0,-58.5074166700,50.4338333300,capelin
2016.0,-57.1513333300,51.3642500000,capelin
2016.0,-55.8302500000,51.9066666700,capelin
2016.0,-55.7174166700,51.9858333300,capelin
2016.0,-55.6580000000,51.6478333300,capelin
2016.0,-56.6076666700,51.4492500000,capelin
2016.0,-57.4635000000,50.6136666700,capelin
2016.0,-58.1921666700,50.2353333300,capelin
2016.0,-58.2475000000,50.1014166700,capelin
2016.0,-58.6946666700,49.9075833300,capelin
2016.0,-58.8227500000,49.6844166700,capelin
2016.0,-59.2580833300,49.1296666700,capelin
2016.0,-59.3510000000,48.3549166700,capelin
2016.0,-59.0998333300,48.3034166700,capelin
2016.0,-59.7805833300,48.2571666700,capelin
2016.0,-59.8006666700,48.1511666700,capelin
2016.0,-60.0790000000,48.0851666700,capelin
2016.0,-59.8634166700,47.9734166700,capelin
2016.0,-59.4456666700,48.0073333300,capelin
2016.0,-61.1401666700,48.1500000000,capelin
2016.0,-64.1194166700,49.0565000000,capelin
2016.0,-63.8674166700,48.9450833300,capelin
2016.0,-63.7061666700,48.9549166700,capelin
2016.0,-63.5245833300,48.9722500000,capelin
2016.0,-63.5941666700,49.1833333300,capelin
2016.0,-64.0862500000,49.2178333300,capelin
2016.0,-63.9755000000,49.5621666700,capelin
2016.0,-64.5565000000,49.6611666700,capelin
2016.0,-64.8421666700,49.6860000000,capelin
2016.0,-64.7659166700,49.4465833300,capelin
2016.0,-64.5652500000,49.2755833300,capelin
2016.0,-65.4351666700,49.3551666700,capelin
2016.0,-65.8269166700,49.4959166700,capelin
2016.0,-65.9639166700,49.3017500000,capelin
2016.0,-66.5311666700,49.4222500000,capelin
2016.0,-67.1235000000,49.3905000000,capelin
2016.0,-67.3169166700,49.1024166700,capelin
2016.0,-67.8449166700,48.9725833300,capelin
2016.0,-68.7315000000,48.8079166700,capelin
2016.0,-68.7710833300,48.8239166700,capelin
2016.0,-68.9235833300,48.7256666700,capelin
2016.0,-68.8469166700,48.7095000000,capelin
2016.0,-69.1088333300,48.3095000000,capelin
2016.0,-69.0924166700,48.3305833300,capelin
2016.0,-68.1923333300,48.7220000000,capelin
2016.0,-67.9492500000,48.8245000000,capelin
2016.0,-67.4446666700,48.9855833300,capelin
2016.0,-67.2068333300,48.9675000000,capelin
2016.0,-67.0314166700,49.2274166700,capelin
2016.0,-66.7494166700,49.1505833300,capelin
2016.0,-66.4885833300,49.2857500000,capelin
2016.0,-66.3857500000,49.5561666700,capelin
2016.0,-66.4410833300,49.7127500000,capelin
2016.0,-66.6060833300,49.6880000000,capelin
2016.0,-66.8755833300,49.8279166700,capelin
2016.0,-66.4984166700,49.7739166700,capelin
2016.0,-66.0589166700,50.0655833300,capelin
2016.0,-65.8923333300,50.1051666700,capelin
2016.0,-65.9093333300,49.7665000000,capelin
2016.0,-65.6493333300,49.8385833300,capelin
2016.0,-65.5776666700,49.7673333300,capelin
2016.0,-65.4267500000,49.6668333300,capelin
2016.0,-65.4606666700,49.9661666700,capelin
2016.0,-65.3192500000,49.9160833300,capelin
2016.0,-65.1830833300,49.9207500000,capelin
2016.0,-65.1338333300,50.0070833300,capelin
2016.0,-64.9530000000,50.0273333300,capelin
2016.0,-63.9313333300,49.9986666700,capelin
2016.0,-63.1690833300,49.8410000000,capelin
2016.0,-62.9720000000,50.0495000000,capelin
