,year,depth_range,temperature,salinity,temp_variation,sal_variation,temp_var_ytoy,sal_var_ytoy
173,2012,"(1700, 1800]",3.561,34.919,-0.04300000000000015,-0.006000000000000227,0.019000000000000128,-0.0010000000000047748
174,2013,"(1700, 1800]",3.604,34.925,0.0,0.0,0.04300000000000015,0.006000000000000227
175,2014,"(1700, 1800]",3.64,34.927,0.03600000000000003,0.0020000000000024443,0.03600000000000003,0.0020000000000024443
176,2015,"(1700, 1800]",3.676,34.931,0.07200000000000006,0.006000000000000227,0.03600000000000003,0.003999999999997783
177,2016,"(1700, 1800]",3.678,34.973,0.07399999999999984,0.04800000000000182,0.0019999999999997797,0.04200000000000159
178,2017,"(1700, 1800]",3.661,34.919,0.05699999999999994,-0.006000000000000227,-0.016999999999999904,-0.054000000000002046
179,2018,"(1700, 1800]",3.613,34.882,0.008999999999999897,-0.04299999999999926,-0.04800000000000004,-0.036999999999999034
180,2009,"(1800, 1900]",3.557,34.93,0.0,0.0,0.0,0.0
181,2010,"(1800, 1900]",3.481,34.921,-0.07600000000000007,-0.009000000000000341,-0.07600000000000007,-0.009000000000000341
182,2011,"(1800, 1900]",3.467,34.919,-0.08999999999999986,-0.011000000000002785,-0.01399999999999979,-0.0020000000000024443
183,2012,"(1800, 1900]",3.482,34.919,-0.07499999999999973,-0.011000000000002785,0.015000000000000124,0.0
184,2013,"(1800, 1900]",3.519,34.927,-0.03799999999999981,-0.0030000000000001137,0.03699999999999992,0.008000000000002672
185,2014,"(1800, 1900]",3.551,34.925,-0.005999999999999783,-0.005000000000002558,0.03200000000000003,-0.0020000000000024443
186,2015,"(1800, 1900]",3.599,34.921,0.04200000000000026,-0.009000000000000341,0.04800000000000004,-0.003999999999997783
187,2016,"(1800, 1900]",3.611,34.965,0.05400000000000027,0.035000000000003695,0.01200000000000001,0.044000000000004036
188,2017,"(1800, 1900]",3.602,34.906,0.04499999999999993,-0.02400000000000091,-0.009000000000000341,-0.059000000000004604
189,2018,"(1800, 1900]",3.566,34.884,0.008999999999999897,-0.045999999999999375,-0.03600000000000003,-0.021999999999998465
190,2009,"(1900, 2000]",3.474,34.918,0.0,0.0,0.0,0.0
191,2010,"(1900, 2000]",3.411,34.92,-0.06300000000000017,0.0020000000000024443,-0.06300000000000017,0.0020000000000024443
192,2011,"(1900, 2000]",3.405,34.915,-0.0690000000000004,-0.0030000000000001137,-0.006000000000000227,-0.005000000000002558
193,2012,"(1900, 2000]",3.428,34.922,-0.04600000000000026,0.003999999999997783,0.02300000000000013,0.006999999999997897
194,2013,"(1900, 2000]",3.451,34.924,-0.02300000000000013,0.006000000000000227,0.02300000000000013,0.0020000000000024443
195,2014,"(1900, 2000]",3.471,34.925,-0.0030000000000001137,0.006999999999997897,0.020000000000000018,0.0009999999999976694
196,2015,"(1900, 2000]",3.52,34.932,0.04599999999999982,0.014000000000002899,0.04899999999999993,0.007000000000005002
197,2016,"(1900, 2000]",3.546,34.977,0.07199999999999962,0.0589999999999975,0.0259999999999998,0.0449999999999946
198,2017,"(1900, 2000]",3.547,34.92,0.07299999999999995,0.0020000000000024443,0.001000000000000334,-0.056999999999995055
199,2018,"(1900, 2000]",3.526,34.883,0.0519999999999996,-0.03499999999999659,-0.02100000000000035,-0.036999999999999034
200,2009,"(2000, 2100]",3.467,34.926,0.0,0.0,0.0,0.0
201,2010,"(2000, 2100]",3.4,34.919,-0.06700000000000017,-0.007000000000005002,-0.06700000000000017,-0.007000000000005002
202,2011,"(2000, 2100]",3.369,34.921,-0.09799999999999986,-0.005000000000002558,-0.030999999999999694,0.0020000000000024443
203,2012,"(2000, 2100]",3.378,34.92,-0.08899999999999997,-0.006000000000000227,0.008999999999999897,-0.0009999999999976694
204,2013,"(2000, 2100]",3.42,34.926,-0.04700000000000015,0.0,0.041999999999999815,0.006000000000000227
205,2014,"(2000, 2100]",3.444,34.919,-0.02300000000000013,-0.007000000000005002,0.02400000000000002,-0.007000000000005002
206,2015,"(2000, 2100]",3.465,34.938,-0.002000000000000224,0.012000000000000455,0.020999999999999908,0.019000000000005457
207,2016,"(2000, 2100]",3.499,35.005,0.03200000000000003,0.07900000000000063,0.03400000000000025,0.06700000000000017
208,2017,"(2000, 2100]",3.531,34.912,0.06400000000000006,-0.014000000000002899,0.03200000000000003,-0.09300000000000352
209,2018,"(2000, 2100]",3.506,34.894,0.0389999999999997,-0.03200000000000358,-0.025000000000000355,-0.018000000000000682
